国・地域,累計死者数,累計死者数（人口1000人あたり）
アフガニスタン,7896,0.20283422815269728
アルバニア,3596,1.2495656404197653
アルジェリア,6881,0.15691759030680297
アンドラ,165,2.1355076684139003
アンゴラ,1931,0.058753248163131884
,0,0.0
アンティグア・バーブーダ,146,1.4908912670533454
アルゼンチン,130437,2.8860439770733444
アルメニア,8719,2.9423933445688055
オーストラリア,19070,0.7478466272058288
オーストリア,21788,2.419168591224018
アゼルバイジャン,10098,0.9959390187071434
バハマ,833,2.1182561640491495
バーレーン,1544,0.9073903535707633
バングラデシュ,29444,0.17878505258593386
バルバドス,573,1.9939381496393163
ベラルーシ,7118,0.7532816379081629
ベルギー,33616,2.900527506692198
ベリーズ,688,1.7302909051584296
ベナン,163,0.013445297189734919
ブータン,21,0.027215750921447568
ボリビア,22355,1.9150984718704973
ボスニア・ヘルツェゴビナ,16261,4.9563904090904245
ボツワナ,2801,1.1910912666772977
ブラジル,697674,3.282254139123994
ブルネイ・ダルサラーム,225,0.5143056987357223
ブルガリア,38194,5.4967694210719085
ブルキナファソ,396,0.01894439714192195
ミャンマー,19490,0.35820756829184097
ブルンジ,38,0.0031957530796337093
カーボベルデ,413,0.7428217875205939
カンボジア,3056,0.1827863688500925
カメルーン,1965,0.07402283082592452
カナダ,50919,1.3491279790924509
中央アフリカ,113,0.023396588321913863
チャド,194,0.011810645641119895
チリ,63998,3.3478395219470554
中国,87468,0.06077020443907431
コロンビア,142276,2.796146539178086
コモロ,161,0.1851436588296851
コンゴ共和国,388,0.07031415931448769
コンゴ民主共和国,1463,0.016335161516672962
コスタリカ,9181,1.8022761171029937
コートジボワール,834,0.03161692718724026
クロアチア,17923,4.36585382489036
キューバ,8530,0.7530934217245469
キプロス,1293,1.0709307323990092
チェコ,42348,3.9544374992879807
デンマーク,8240,1.4226020738568728
ダイヤモンド・プリンセス（クルーズ船）,13,
ジブチ,189,0.19129515932153984
ドミニカ,74,1.0279062660610354
ドミニカ共和国,4384,0.40413336991182813
エクアドル,35965,2.038478585914235
エジプト,24807,0.2424111469141028
エルサルバドル,4230,0.6521537029148495
赤道ギニア,183,0.1304361771508605
エリトリア,103,0.029043315990996008
エストニア,2919,2.2004630093800484
エスワティニ,1423,1.2265507290348605
エチオピア,7572,0.06586433549135294
フィジー,883,0.9850029672796069
フィンランド,8821,1.592031935211285
フランス,165578,2.536679809721285
ガボン,306,0.13748310665094748
ガンビア,372,0.15393120433788066
ジョージア,16941,4.246742747560586
ドイツ,166763,1.9903932668723108
ガーナ,1462,0.047050577278722694
ギリシャ,34779,3.3367373254062915
グレナダ,238,2.115198322061163
グアテマラ,20149,1.124664377074976
ギニア,467,0.03555984134980589
ギニアビサウ,176,0.08943098519409065
ガイアナ,1297,1.6489544967383247
ハイチ,860,0.07542183828803653
バチカン,0,0.0
ホンジュラス,11107,1.1213972324800738
香港,13333,1.778447557872575
ハンガリー,48707,5.041949825834468
アイスランド,211,0.6183150183150182
インド,530753,0.38460240110034144
インドネシア,160864,0.5881173969980458
イラン,144781,1.7237279417953075
イラク,25375,0.6308657618845848
アイルランド,8602,1.7420727790293482
イスラエル,12236,1.4136609138585328
イタリア,187551,3.1019736948740615
ジャマイカ,3488,1.1779163645610624
日本,70703,0.5590210314080745
ヨルダン,14122,1.384083723245981
カザフスタン,19066,1.0154070146591732
ケニア,5688,0.10578133688417427
キリバス,18,0.1506957118697989
,6,0.10424448807269315
韓国,33747,0.6582316710605667
コソボ,3204,
クウェート,2570,0.6017941896653907
キルギス,2991,0.4584476450796735
ラオス,758,0.1041844774474968
ラトビア,6245,3.310886108698856
レバノン,10803,1.5827546406518433
レソト,723,0.3374953086751699
リベリア,294,0.0581294535020722
リビア,6437,0.9367968475192493
